index,source,content_type,release_label,version,released_at,fix_en,summary_ko,source_url,source_anchor,tags,publication_status,collected_at
49,Microsoft Learn,powerbi_changelog,February 2025 QFE 4,2.140.1476.0,"March 11, 2025","Addressed issues with the copy cell functionality in data grid, ensuring proper asynchronous handling and accurate cell value retrieval.","February 2025 QFE 4 변경 로그 항목입니다. 버전 2.140.1476.0. 릴리스일 March 11, 2025. 원문 요약: Addressed issues with the copy cell functionality in data grid, ensuring proper asynchronous handling and accurate cell value retrieval.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#february-2025-qfe-4,february-2025-qfe-4,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
50,Microsoft Learn,powerbi_changelog,February 2025 QFE 3,2.140.1454.0,"March 8, 2025",Resolved the issue of broken custom visual dialogs.,"February 2025 QFE 3 변경 로그 항목입니다. 버전 2.140.1454.0. 릴리스일 March 8, 2025. 원문 요약: Resolved the issue of broken custom visual dialogs.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#february-2025-qfe-3,february-2025-qfe-3,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 시각화,review,2026-08-15T19:36:05
51,Microsoft Learn,powerbi_changelog,February 2025 QFE 3,2.140.1454.0,"March 8, 2025",Resolved an issue where users weren't able to save a PBIP file when TMDL view preview feature is enabled.,"February 2025 QFE 3 변경 로그 항목입니다. 버전 2.140.1454.0. 릴리스일 March 8, 2025. 원문 요약: Resolved an issue where users weren't able to save a PBIP file when TMDL view preview feature is enabled.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#february-2025-qfe-3,february-2025-qfe-3,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 저장,review,2026-08-15T19:36:05
52,Microsoft Learn,powerbi_changelog,February 2025 QFE 3,2.140.1454.0,"March 8, 2025","Fixed the confirmation dialog handling for the download API in Power BI Desktop, addressing a regression issue.","February 2025 QFE 3 변경 로그 항목입니다. 버전 2.140.1454.0. 릴리스일 March 8, 2025. 원문 요약: Fixed the confirmation dialog handling for the download API in Power BI Desktop, addressing a regression issue.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#february-2025-qfe-3,february-2025-qfe-3,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
53,Microsoft Learn,powerbi_changelog,February 2025 QFE 2,2.140.1351.0,"March 4, 2025",Fixed an issue where existing report pages were disappearing when adding a local model to a report in Power BI Desktop.,"February 2025 QFE 2 변경 로그 항목입니다. 버전 2.140.1351.0. 릴리스일 March 4, 2025. 원문 요약: Fixed an issue where existing report pages were disappearing when adding a local model to a report in Power BI Desktop.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#february-2025-qfe-2,february-2025-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 모델링,review,2026-08-15T19:36:05
54,Microsoft Learn,powerbi_changelog,February 2025 QFE 2,2.140.1351.0,"March 4, 2025",Fixed a UI regression issue where the Manage Relationships dialog in the report view had a different size compared to the Table or Model View.,"February 2025 QFE 2 변경 로그 항목입니다. 버전 2.140.1351.0. 릴리스일 March 4, 2025. 원문 요약: Fixed a UI regression issue where the Manage Relationships dialog in the report view had a different size compared to the Table or Model View.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#february-2025-qfe-2,february-2025-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 모델링,review,2026-08-15T19:36:05
55,Microsoft Learn,powerbi_changelog,January 2025 QFE 3,2.139.2054.0,"January 29, 2025","Fixed issue in v2 connector that creates duplicate records, and some missing records, causing rows in the dataset to be repeated instead of new rows being returned","January 2025 QFE 3 변경 로그 항목입니다. 버전 2.139.2054.0. 릴리스일 January 29, 2025. 원문 요약: Fixed issue in v2 connector that creates duplicate records, and some missing records, causing rows in the dataset to be repeated instead of new rows being returned",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#january-2025-qfe-3,january-2025-qfe-3,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
56,Microsoft Learn,powerbi_changelog,January 2025 QFE 2,2.139.1733.0,"January 24, 2025",Fixed issue of users receiving an error due to pending changes at the conclusion of a model change,"January 2025 QFE 2 변경 로그 항목입니다. 버전 2.139.1733.0. 릴리스일 January 24, 2025. 원문 요약: Fixed issue of users receiving an error due to pending changes at the conclusion of a model change",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#january-2025-qfe-2,january-2025-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 모델링,review,2026-08-15T19:36:05
57,Microsoft Learn,powerbi_changelog,January 2025 QFE 2,2.139.1733.0,"January 24, 2025",Fixed SQL Server connector to operate properly with Fabric SQL,"January 2025 QFE 2 변경 로그 항목입니다. 버전 2.139.1733.0. 릴리스일 January 24, 2025. 원문 요약: Fixed SQL Server connector to operate properly with Fabric SQL",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#january-2025-qfe-2,january-2025-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
58,Microsoft Learn,powerbi_changelog,January 2025 QFE 1,2.139.1678.0,"January 14, 2025",Fixed issue when connecting to Fabric SQL database using SQL connector,"January 2025 QFE 1 변경 로그 항목입니다. 버전 2.139.1678.0. 릴리스일 January 14, 2025. 원문 요약: Fixed issue when connecting to Fabric SQL database using SQL connector",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#january-2025-qfe-1,january-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
